Basketball Players New2 - Person → Positionnew,Basketball Players New2 - Person → Height Ft In,Player Eligibility 2024 - Name → Eligibility Year,Basketball Conferences Tiers - Conference → Conference Name,Basketball Conferences Tiers - Conference → Conf Tier,Overall Dataset - Person → Pts/100 Poss,Dataset for conditionals - Person → 3fg% Conditional,Overall Dataset - Person → Reb/100 Poss,Overall Dataset - Person → Blk/40,Dataset for conditionals - Person → Blk/40 Conditional,Dataset for conditionals - Person → A:to Conditional,Dataset for conditionals - Person → 3fg/fga,Tv Name,Name,Dataset for conditionals - Person → Rebs/100 Conditional,Dataset for conditionals - Person → 3fga/fga Conditional,Dataset for conditionals - Person → Ft% Conditional,Dataset for conditionals - Person → Pts/100 Conditional,Basketball Teams - Team → Team Name,Assists Turnover Ratio,Three Pointers Percentage,Free Throws Percentage
1 | 2,"6' 02""",4.5,Southland,Other,22.97050349710672,0,6.264682771938195,0.7517619326325834,,0,0.14285714285714285,,Bruce Carpenter,,0,1,0,Houston Christian,1.0,0.0,0.8
1,"6' 00""",3.0,ASUN,Low,14.773481426408843,0,4.14694215478143,0.0,,0,0.7592592592592593,,Landin Hacker,,1,1,0,Bellarmine,1.3,0.317073,0.8
3 | 4,"6' 07""",3.0,CUSA,Mid,20.065531993067367,1,18.950780215674733,0.3418572117337403,0,0,0.025210084033613446,,Kian Scroggins,1,0,0,0,Sam Houston,0.478261,0.333333,0.55102
1,"5' 10""",5.0,CUSA,Mid,14.212072961679617,0,6.502255603382831,0.06409366237620219,,0,0.2972972972972973,,Jaden Ray,,0,1,0,Sam Houston,1.555556,0.318182,0.787234
1,"5' 09""",2.0,CUSA,Mid,8.758604975623019,0,2.1896512439057547,0.0,,0,0.6,,Bryce cook,,1,0,0,Sam Houston,0.0,0.0,0.0
3 | 4,"6' 07""",3.0,ASUN,Low,10.323939986581314,1,9.48116937543182,1.1851461719289773,1,1,0.6395348837209303,,Jusaun Holt,0,1,0,0,Kennesaw St.,1.0,0.4,0.5
1 | 2,"6' 02""",2.0,SEC,High,38.52349771561963,1,10.506408467896259,0.0,,1,0.5,,Kai Spears,,1,1,1,Alabama,2.0,0.5,1.0
1 | 2,"6' 04""",1.0,America East,Low,7.9607517796768255,0,9.20461924525133,0.33335648077396707,,0,0.5319148936170213,,Jake Goldberg,,1,1,0,NJIT,0.636364,0.2,0.7
1,"6' 01""",3.0,Ivy League,Low,3.1428421209697595,0,4.714263181454639,0.0,,0,0.75,,Sam Klores,,1,0,0,Brown,0.666667,0.0,0.0
1 | 2,"6' 02""",1.0,Ivy League,Low,39.85784126958289,0,11.957352380874866,2.7103332063316365,,0,0.3333333333333333,,Adrian Uchidiuno,,0,0,1,Brown,1.0,0.0,0.0
3 | 4,"6' 07""",5.0,Atlantic 10,Mid,23.33683164074514,0,9.924859433420346,0.46271304115270534,0,0,0.2426470588235294,,Tim Dalger,0,0,0,0,Saint Louis,0.85,0.272727,0.646341
3 | 4,"6' 08""",1.0,SoCon,Other,20.93182080673502,1,12.815400493919398,1.7172636661851992,1,0,0.3431372549019608,,Jeremy Lorenz,0,0,1,0,Wofford,0.655172,0.371429,0.681818
1 | 2,"6' 04""",2.0,WAC,Mid,24.088322725873144,1,0.0,0.0,,0,0.5,,Peter Dadson Jr,,1,0,1,Southern Utah,0.5,1.0,0.0
1 | 2,"6' 02""",3.0,Atlantic 10,Mid,29.12939218940577,1,4.792656407231291,0.25394854729225547,,1,0.6376811594202898,,Erik Reynolds II,,1,1,0,Saint Joseph's,1.780488,0.395455,0.875
1 | 2,"6' 03""",3.0,Summit League,Mid,20.41487774761263,1,8.238861376715096,0.2406039163111488,,0,0.5753424657534246,,Jacari White,,1,1,0,North Dakota St.,1.214286,0.428571,0.764706
4 | 5,"6' 10""",1.0,Summit League,Mid,20.771677537589866,,11.5506057335196,0.5124974644788528,0,,0.3381294964028777,,Noah Feddersen,1,0,0,1,North Dakota St.,1.04,0.425532,0.618182
1,"5' 11""",3.0,NEC,Low,,1,,0.5134692079295402,,0,0.4716981132075472,,Andre Washington,,1,1,,LIU,1.0,0.36,0.809524
1,"5' 11""",3.0,NEC,Low,,1,,0.0,,0,0.4716981132075472,,Andre Washington,,1,1,,LIU,1.0,0.36,0.809524
2 | 3,"6' 05""",3.0,America East,Low,20.88834120844492,0,9.670528337243018,0.4255032468386928,,0,0.48322147651006714,,Quion Burns,0,1,1,0,Maine,0.666667,0.277778,0.7
1,"5' 10""",1.0,Southland,Other,0.0,0,12.679961221381795,0.0,,0,0.5,,Hayden Verdin,,1,0,0,Nicholls,0.0,0.0,0.0
2 | 3,"6' 05""",1.0,Patriot,Low,15.367314115730252,0,8.154085040999725,0.21012449913345443,,0,0.5636363636363636,,Michael McNair,1,1,0,0,Boston U.,0.583333,0.225806,0.666667
3 | 4,"6' 07""",3.0,DI Independent,Other,26.85984189994375,0,13.575581697802374,0.15148717774371745,0,0,0.21081081081081082,,Jahsean Corbett,0,0,1,0,Chicago St.,0.790323,0.25641,0.691275
1 | 2,"6' 04""",4.5,Big Sky,Low,21.447386635335274,0,6.289858580555057,0.0711475806652949,,1,0.19101123595505617,,Isiah Kirby,,0,1,0,Portland St.,1.736842,0.264706,0.794872
2 | 3,"6' 06""",4.5,MAAC,Low,17.665808193585264,1,8.64496996707364,0.48111137208061994,,1,0.8,,Elijah Wood,1,1,0,0,Saint Peter's,1.0,0.375,0.5
1 | 2,"6' 04""",4.5,SEC,High,18.08289973585792,1,8.006169348700453,0.3092037817429141,,1,0.4791666666666667,,Ta'lon Cooper,,1,1,0,South Carolina,3.454545,0.445652,0.75
4 | 5,"6' 09""",2.0,Ivy League,Low,28.060071148192673,,17.819169269290235,0.706622229644268,0,,0.12295081967213115,,Zine Eddine Bedri,1,0,0,1,Columbia,1.115385,0.4,0.59375
1 | 2,"6' 03""",2.0,ASUN,Low,25.267931504475825,1,6.706920090694201,0.0,,1,0.5616438356164384,,Ben Johnson,,1,1,0,Bellarmine,2.25,0.371951,0.828571
1 | 2,"6' 03""",2.0,ASUN,Low,,1,,0.0,,1,0.5616438356164384,,Ben Johnson,,1,1,0,Bellarmine,2.25,0.371951,0.828571
3 | 4,"6' 07""",1.0,NEC,Low,,0,,1.4432617716038247,1,0,1.0,,Matias Rissanen,,1,0,,Central Conn. St.,0.5,0.2,0.0
1,"6' 00""",2.0,MAAC,Low,9.315108021747772,0,4.657554010873886,0.0,,0,0.0,,Luke Davidson,,0,0,0,Fairfield,0.0,0.0,0.0
1,"6' 01""",5.0,Big Ten,High,27.313769391477557,1,5.777912755889482,0.306154338234144,,0,0.5972222222222222,,Lance Jones,,1,1,1,Purdue,1.536585,0.366279,0.763889
3 | 4,"6' 08""",4.5,SEC,High,27.11630744755111,1,7.965918211595134,0.5632467422339994,0,0,0.7111111111111111,,Jabri Abdur-Rahim,0,1,1,1,Georgia,0.310345,0.36875,0.88
1 | 2,"6' 03""",3.0,SWAC,Other,16.918817524419115,1,10.411580015027148,0.22124607531932688,,0,0.4642857142857143,,Morrell Schramm,,1,1,0,Florida A&M,1.217391,0.461538,0.736842
3 | 4,"6' 07""",5.0,Atlantic 10,Mid,17.04393587222382,0,16.269211514395465,0.2634062816616409,0,0,0.4318181818181818,,Hassan Drame,1,1,0,0,Duquesne,0.875,0.315789,0.4
4 | 5,"6' 10""",5.0,CAA,Low,20.02731502130555,,16.639609992826006,1.7357006351798145,1,,0.0273972602739726,,Chris Maidoh,0,0,0,0,Stony Brook,1.296296,0.0,0.544304
3 | 4,"6' 07""",2.0,Big Sky,Low,39.50693860281433,0,11.27318813602157,0.3453048618240841,0,0,0.12,,Brandon Walker,1,0,0,1,Montana St.,0.6,0.30303,0.626168
4 | 5,"6' 10""",1.0,MEAC,Other,17.029623904924197,,12.49754657538792,2.0188344467934334,1,,0.0,,Drayton Jones,0,0,0,0,South Carolina St.,0.513514,0.0,0.613333
1,"5' 08""",5.0,Big Ten,High,17.61519718020151,0,23.486929573602016,0.0,,0,0.4,,Steven Izzo,,1,0,0,Michigan St.,1.0,0.0,0.333333
2 | 3,"6' 06""",3.0,MVC,Mid,23.91811383130755,0,11.292486530191105,1.3864664017623523,,0,0.5275590551181102,,Chance Moore,0,1,0,0,Missouri St.,0.636364,0.30597,0.604651
1 | 2,"6' 04""",1.0,MAAC,Low,20.810778884106984,0,8.301567533004425,1.0917129906416778,,0,0.3563218390804598,,Armoni Zeigler,,0,0,0,Saint Peter's,1.32,0.322581,0.627907
1 | 2,"6' 03""",4.5,WCC,Mid,23.351887885552426,1,4.900068277624116,0.05053195411299869,,1,0.5741444866920152,,Will Johnston,,1,1,1,LMU (CA),1.761905,0.364238,0.818182
2 | 3,"6' 05""",3.0,Sun Belt,Mid,0.0,0,0.0,0.0,,0,,,Tyler Bush,0,,0,0,Ga. Southern,0.0,0.0,0.0
1 | 2,"6' 03""",3.0,Ivy League,Low,19.24005643629741,1,11.947454399958875,0.10706160436326785,,1,0.5555555555555556,,Jaden Cooper,,1,1,0,Columbia,2.823529,0.381818,0.846154
3 | 4,"6' 07""",2.0,ASUN,Low,18.338100762087187,1,4.770026209791465,0.6201034072728905,0,1,0.5747126436781609,,Billy Smith,0,1,1,0,Bellarmine,1.347826,0.35,0.909091
2 | 3,"6' 05""",4.5,Ivy League,Low,15.383062688890664,1,5.860214357672635,0.41509851700181155,,1,0.6238532110091743,,Felix Kloman,0,1,0,0,Brown,1.526316,0.338235,0.612903
4 | 5,"7' 00""",1.0,Big South,Low,15.683812037663198,,23.099527511993077,3.071981444768378,1,,0.008264462809917356,,Juslin Bodo Bodo,1,0,0,0,High Point,0.233333,0.0,0.405405
3 | 4,"6' 08""",3.0,NEC,Low,,0,,2.4336548931150137,1,0,0.0625,,Jayden Brown,,0,1,,Central Conn. St.,0.966667,0.2,0.753846
1,"6' 00""",4.5,Big Sky,Low,26.54293164514513,1,13.673631453559615,0.21036356082399407,,0,0.5051194539249146,,Robert Ford III,,1,1,0,Montana St.,1.123288,0.425676,0.786325
4 | 5,"6' 09""",4.5,Southland,Other,23.685491393738378,,14.397063396193914,2.1630426699281666,1,,0.0,,Justin Wilson,0,0,0,0,Northwestern St.,0.6,0.0,0.576271
2 | 3,"6' 06""",1.0,NEC,Low,,0,,0.0,,0,,,Tre'shawn Sheppard,,,0,,LIU,0.0,0.0,0.0
2 | 3,"6' 06""",2.0,DI Independent,Other,13.461938466104693,0,8.456858779988844,0.8974625644069794,,0,0.3973509933774834,,Deshawn Jean-Charles,0,0,0,0,Chicago St.,0.820513,0.25,0.694915
3 | 4,"6' 08""",5.0,MVC,Mid,22.627793888516294,0,10.296571060986977,1.0062277827263921,1,1,0.2550335570469799,,Donovan Clay,0,0,1,0,Missouri St.,1.155172,0.328947,0.694915
1,"6' 00""",5.0,MVC,Mid,18.923696630909507,0,5.526389281593041,0.05693855623459497,,0,0.5053191489361702,,Matthew Lee,,1,1,0,Missouri St.,1.285714,0.284211,0.802198
1,"6' 00""",5.0,MVC,Mid,,0,,1.493466048700285,,0,0.5053191489361702,,Matthew Lee,,1,1,0,Missouri St.,1.285714,0.284211,0.802198
1 | 2,"6' 04""",4.5,Ivy League,Low,24.566030288923493,1,8.188676762974497,0.33236393920308255,,1,0.291970802919708,,Zavian McLean,,0,0,0,Columbia,1.954545,0.475,0.694444
3 | 4,"6' 08""",3.0,Patriot,Low,28.095260815674838,0,17.980966922031897,1.882382474650214,1,0,0.0,,Malcolm Chimezie,0,0,0,0,Boston U.,0.428571,0.0,0.555556
